date;cases;active
2020-02-04;1;0
2020-03-01;2;0
2020-03-02;8;0
2020-03-03;13;0
2020-03-04;23;0
2020-03-05;50;0
2020-03-06;109;0
2020-03-07;169;0
2020-03-08;200;0
2020-03-09;239;0
2020-03-10;267;0
2020-03-11;314;0
2020-03-12;399;0
2020-03-13;559;0
2020-03-14;689;0
2020-03-15;886;0
2020-03-16;1058;0
2020-03-17;1243;0
2020-03-18;1486;0
2020-03-19;1795;0
2020-03-20;2257;0
2020-03-21;2815;0
2020-03-22;3401;0
2020-03-23;3743;0
2020-03-24;4269;0
2020-03-25;4937;0
2020-03-26;6235;0
2020-03-27;7284;0
2020-03-28;9134;0
2020-03-29;10836;0